timestamp,people_count,queue_length,_synthetic
2026-08-14T08:00:00,11,2,SYNTHETIC DEMO DATA
2026-08-14T08:05:00,12,1,SYNTHETIC DEMO DATA
2026-08-14T08:10:00,15,1,SYNTHETIC DEMO DATA
2026-08-14T08:15:00,15,2,SYNTHETIC DEMO DATA
2026-08-14T08:20:00,13,1,SYNTHETIC DEMO DATA
2026-08-14T08:25:00,16,1,SYNTHETIC DEMO DATA
2026-08-14T08:30:00,17,1,SYNTHETIC DEMO DATA
2026-08-14T08:35:00,17,2,SYNTHETIC DEMO DATA
2026-08-14T08:40:00,18,3,SYNTHETIC DEMO DATA
2026-08-14T08:45:00,15,1,SYNTHETIC DEMO DATA
2026-08-14T08:50:00,18,2,SYNTHETIC DEMO DATA
2026-08-14T08:55:00,22,2,SYNTHETIC DEMO DATA
2026-08-14T09:00:00,21,3,SYNTHETIC DEMO DATA
2026-08-14T09:05:00,21,2,SYNTHETIC DEMO DATA
2026-08-14T09:10:00,24,2,SYNTHETIC DEMO DATA
2026-08-14T09:15:00,23,3,SYNTHETIC DEMO DATA
2026-08-14T09:20:00,26,4,SYNTHETIC DEMO DATA
2026-08-14T09:25:00,28,3,SYNTHETIC DEMO DATA
2026-08-14T09:30:00,28,2,SYNTHETIC DEMO DATA
2026-08-14T09:35:00,26,2,SYNTHETIC DEMO DATA
2026-08-14T09:40:00,34,3,SYNTHETIC DEMO DATA
2026-08-14T09:45:00,27,3,SYNTHETIC DEMO DATA
2026-08-14T09:50:00,27,3,SYNTHETIC DEMO DATA
2026-08-14T09:55:00,31,2,SYNTHETIC DEMO DATA
2026-08-14T10:00:00,37,2,SYNTHETIC DEMO DATA
2026-08-14T10:05:00,35,3,SYNTHETIC DEMO DATA
2026-08-14T10:10:00,37,3,SYNTHETIC DEMO DATA
2026-08-14T10:15:00,27,2,SYNTHETIC DEMO DATA
2026-08-14T10:20:00,34,2,SYNTHETIC DEMO DATA
2026-08-14T10:25:00,35,5,SYNTHETIC DEMO DATA
2026-08-14T10:30:00,45,6,SYNTHETIC DEMO DATA
2026-08-14T10:35:00,44,4,SYNTHETIC DEMO DATA
2026-08-14T10:40:00,45,5,SYNTHETIC DEMO DATA
2026-08-14T10:45:00,48,3,SYNTHETIC DEMO DATA
2026-08-14T10:50:00,38,3,SYNTHETIC DEMO DATA
2026-08-14T10:55:00,49,6,SYNTHETIC DEMO DATA
2026-08-14T11:00:00,51,5,SYNTHETIC DEMO DATA
2026-08-14T11:05:00,52,5,SYNTHETIC DEMO DATA
2026-08-14T11:10:00,52,3,SYNTHETIC DEMO DATA
2026-08-14T11:15:00,60,5,SYNTHETIC DEMO DATA
2026-08-14T11:20:00,55,4,SYNTHETIC DEMO DATA
2026-08-14T11:25:00,63,4,SYNTHETIC DEMO DATA
2026-08-14T11:30:00,51,5,SYNTHETIC DEMO DATA
2026-08-14T11:35:00,69,8,SYNTHETIC DEMO DATA
2026-08-14T11:40:00,70,8,SYNTHETIC DEMO DATA
2026-08-14T11:45:00,65,7,SYNTHETIC DEMO DATA
2026-08-14T11:50:00,66,5,SYNTHETIC DEMO DATA
2026-08-14T11:55:00,72,4,SYNTHETIC DEMO DATA
2026-08-14T12:00:00,84,8,SYNTHETIC DEMO DATA
2026-08-14T12:05:00,76,5,SYNTHETIC DEMO DATA
2026-08-14T12:10:00,89,9,SYNTHETIC DEMO DATA
2026-08-14T12:15:00,75,7,SYNTHETIC DEMO DATA
2026-08-14T12:20:00,77,11,SYNTHETIC DEMO DATA
2026-08-14T12:25:00,70,9,SYNTHETIC DEMO DATA
2026-08-14T12:30:00,79,8,SYNTHETIC DEMO DATA
2026-08-14T12:35:00,85,7,SYNTHETIC DEMO DATA
2026-08-14T12:40:00,80,12,SYNTHETIC DEMO DATA
2026-08-14T12:45:00,83,4,SYNTHETIC DEMO DATA
2026-08-14T12:50:00,76,11,SYNTHETIC DEMO DATA
2026-08-14T12:55:00,79,7,SYNTHETIC DEMO DATA
2026-08-14T13:00:00,70,9,SYNTHETIC DEMO DATA
2026-08-14T13:05:00,74,11,SYNTHETIC DEMO DATA
2026-08-14T13:10:00,77,11,SYNTHETIC DEMO DATA
2026-08-14T13:15:00,78,6,SYNTHETIC DEMO DATA
2026-08-14T13:20:00,71,9,SYNTHETIC DEMO DATA
2026-08-14T13:25:00,87,7,SYNTHETIC DEMO DATA
2026-08-14T13:30:00,67,5,SYNTHETIC DEMO DATA
2026-08-14T13:35:00,68,5,SYNTHETIC DEMO DATA
2026-08-14T13:40:00,68,7,SYNTHETIC DEMO DATA
2026-08-14T13:45:00,65,6,SYNTHETIC DEMO DATA
2026-08-14T13:50:00,66,10,SYNTHETIC DEMO DATA
2026-08-14T13:55:00,62,5,SYNTHETIC DEMO DATA
2026-08-14T14:00:00,71,8,SYNTHETIC DEMO DATA
2026-08-14T14:05:00,64,8,SYNTHETIC DEMO DATA
2026-08-14T14:10:00,63,9,SYNTHETIC DEMO DATA
2026-08-14T14:15:00,58,8,SYNTHETIC DEMO DATA
2026-08-14T14:20:00,62,7,SYNTHETIC DEMO DATA
2026-08-14T14:25:00,57,6,SYNTHETIC DEMO DATA
2026-08-14T14:30:00,63,9,SYNTHETIC DEMO DATA
2026-08-14T14:35:00,65,5,SYNTHETIC DEMO DATA
2026-08-14T14:40:00,57,7,SYNTHETIC DEMO DATA
2026-08-14T14:45:00,59,6,SYNTHETIC DEMO DATA
2026-08-14T14:50:00,58,9,SYNTHETIC DEMO DATA
2026-08-14T14:55:00,53,4,SYNTHETIC DEMO DATA
2026-08-14T15:00:00,52,5,SYNTHETIC DEMO DATA
2026-08-14T15:05:00,54,8,SYNTHETIC DEMO DATA
2026-08-14T15:10:00,55,7,SYNTHETIC DEMO DATA
2026-08-14T15:15:00,61,9,SYNTHETIC DEMO DATA
2026-08-14T15:20:00,59,6,SYNTHETIC DEMO DATA
2026-08-14T15:25:00,64,5,SYNTHETIC DEMO DATA
2026-08-14T15:30:00,49,7,SYNTHETIC DEMO DATA
2026-08-14T15:35:00,56,4,SYNTHETIC DEMO DATA
2026-08-14T15:40:00,52,6,SYNTHETIC DEMO DATA
2026-08-14T15:45:00,52,5,SYNTHETIC DEMO DATA
2026-08-14T15:50:00,57,7,SYNTHETIC DEMO DATA
2026-08-14T15:55:00,60,9,SYNTHETIC DEMO DATA
2026-08-14T16:00:00,64,4,SYNTHETIC DEMO DATA
2026-08-14T16:05:00,61,4,SYNTHETIC DEMO DATA
2026-08-14T16:10:00,65,6,SYNTHETIC DEMO DATA
2026-08-14T16:15:00,54,8,SYNTHETIC DEMO DATA
2026-08-14T16:20:00,64,7,SYNTHETIC DEMO DATA
2026-08-14T16:25:00,73,4,SYNTHETIC DEMO DATA
2026-08-14T16:30:00,80,8,SYNTHETIC DEMO DATA
2026-08-14T16:35:00,67,4,SYNTHETIC DEMO DATA
2026-08-14T16:40:00,79,5,SYNTHETIC DEMO DATA
2026-08-14T16:45:00,77,4,SYNTHETIC DEMO DATA
2026-08-14T16:50:00,78,9,SYNTHETIC DEMO DATA
2026-08-14T16:55:00,75,11,SYNTHETIC DEMO DATA
2026-08-14T17:00:00,81,6,SYNTHETIC DEMO DATA
2026-08-14T17:05:00,89,6,SYNTHETIC DEMO DATA
2026-08-14T17:10:00,77,7,SYNTHETIC DEMO DATA
2026-08-14T17:15:00,80,5,SYNTHETIC DEMO DATA
2026-08-14T17:20:00,81,9,SYNTHETIC DEMO DATA
2026-08-14T17:25:00,105,9,SYNTHETIC DEMO DATA
2026-08-14T17:30:00,102,11,SYNTHETIC DEMO DATA
2026-08-14T17:35:00,88,6,SYNTHETIC DEMO DATA
2026-08-14T17:40:00,84,11,SYNTHETIC DEMO DATA
2026-08-14T17:45:00,82,5,SYNTHETIC DEMO DATA
2026-08-14T17:50:00,82,12,SYNTHETIC DEMO DATA
2026-08-14T17:55:00,88,10,SYNTHETIC DEMO DATA
2026-08-14T18:00:00,94,10,SYNTHETIC DEMO DATA
2026-08-14T18:05:00,93,13,SYNTHETIC DEMO DATA
2026-08-14T18:10:00,88,13,SYNTHETIC DEMO DATA
2026-08-14T18:15:00,86,8,SYNTHETIC DEMO DATA
2026-08-14T18:20:00,85,5,SYNTHETIC DEMO DATA
2026-08-14T18:25:00,82,12,SYNTHETIC DEMO DATA
2026-08-14T18:30:00,84,10,SYNTHETIC DEMO DATA
